이름,구,음식종류,영업시간,휴무일,별점
헤비스테이크,강남구,스테이크,11:00-21:00,,4.44
영동교집,강남구,돼지고기구이,11:00-23:40,,4.5
홍명,강남구,중식당,11:30-21:30,,4.29
구구당,강남구,퓨전,11:30-21:30,,4.51
트라가,강남구,스페인음식,11:00-22:00,,4.68
나폴리회관,강남구,양식,11:30-22:00,,4.28
감성타코,강남구,멕시코음식,12:00-22:00,,4.42
호족반,강남구,한식,11:30-21:30,,4.35
압구정하루,강남구,일식당,11:30-21:30,,4.43
코벤트가든,송파구,이탈리아음식 ,11:00-21:30,,4.39
개나리아구찜,송파구,한식,12:00-23:00,,4.65
배기욘방,송파구,일식당,11:30-21:00,,4.64
동경산책,송파구,일식당,11:30-21:00,,4.42
진지아,송파구,중식당,17:00-23:30,,4.57
짱꼬집,송파구,한식,12:00-24:00,,4.55
다운타우너,송파구,햄버거,11:30-21:30,,4.54
봉피양,송파구,한식,11:30-22:00,,4.36
다케오호르몬데판야끼,송파구,일식당,11:30-21:30,,4.32
비와별닭갈비,송파구,닭갈비,10:30-22:30,,4.22
진주집,영등포구,국수,10:00-20:00,일,4.4
미도인,영등포구,양식,10:40-21:00,,4.5
또순이네집,영등포구,소고기구이,11:30-21:30,,4.26
역전소금구이,영등포구,소고기구이,16:00-24:00,,4.38
촌놈숯불닭갈비,영등포구,닭갈비,11:30-23:00,,4.41
골목집,영등포구,오리요리,11:00-22:30,,4.48
을지다락,영등포구,양식,11:00-21:00,,4.66
후라토식당,영등포구,일식당,11:00-21:30,,4.63
오복수산,영등포구,일식당,11:00-21:30,,4.52
하이디라오,영등포구,중식당,10:00-03:00,,4.61
쥬벤쿠바,관악구,양식,11:30-22:00,,4.68
빽돈,관악구,돼지고기구이,14:00-24:00,,4.51
박재성의 메밀숯불닭갈비,관악구,닭갈비,16:00-24:00,,4.9
삼삼당,관악구,돼지고기구이,16:00-24:00,,4.96
킷사서울,관악구,일식당,11:30-22:00,,4.37
모힝,관악구,양식,11:00-22:00,,4.67
신림황소곱창,관악구,곱창,15:00-24:00,,4.35
텐동요츠야,관악구,일식당,12:00-21:00,월,4.34
대원갈비,관악구,육류,00:00-24:00,,4.33
막불감동,관악구,냉면,11:00-22:00,,4.66
문득,관악구,이탈리아음식,11:30-22:00,,4.49
우래옥,중구,냉면,11:30-21:00,월,4.36
우정,중구,떡볶이,12:00-03:00,수,4.42
을지깐깐,중구,베트남음,11:30-22:00,,4.51
진주회관,중구,국수,11:00-21:00,,4.3
광화문특고기,중구,육류,11:00-24:00,,4.19
금돼지식당,중구,돼지고기구이,11:30-23:00,,4.4
화육계,중구,닭발,16:00-22:00,,4.33
진작,중구,일식당,11:00-22:30,,4.47
유림면,중구,국수,11:00-21:00,일,4.24
하니칼국수,중구,한식,10:30-22:00,,4.35
